date,teamA,teamB,match_type,venue_type,teamA_form_last5,teamB_form_last5,teamA_avg_goals_scored,teamA_avg_goals_conceded,teamB_avg_goals_scored,teamB_avg_goals_conceded,teamA_elo,teamB_elo,diff_elo,diff_form_last5,diff_avg_goals_scored,diff_avg_goals_conceded,result
2006-01-02,Qatar,Libya,friendly,false,5.000,5.000,0.400,1.800,0.600,1.400,1613.534,1545.032,68.502,0.000,-0.200,0.400,teamA_win
2006-01-05,Egypt,Zimbabwe,friendly,false,10.000,4.000,2.400,1.200,1.400,2.400,1720.368,1607.556,112.812,6.000,1.000,-1.200,teamA_win
2006-01-07,Guinea,Togo,friendly,true,11.000,9.000,1.600,0.800,1.800,1.600,1609.569,1673.405,-63.837,2.000,-0.200,-0.800,teamA_win
2006-01-09,Morocco,DR Congo,friendly,false,6.000,3.000,0.600,0.600,1.400,2.200,1728.533,1554.753,173.780,3.000,-0.800,-1.600,teamA_win
2006-01-11,Togo,Ghana,friendly,true,6.000,13.000,1.600,1.800,2.200,0.200,1664.543,1660.581,3.961,-7.000,-0.600,1.600,teamA_win
2006-01-12,Tunisia,Libya,friendly,false,11.000,5.000,1.800,1.000,0.600,1.000,1758.562,1538.992,219.570,6.000,1.200,0.000,teamA_win
2006-01-14,Egypt,South Africa,friendly,false,10.000,1.000,2.000,1.000,1.600,3.200,1725.515,1609.831,115.684,9.000,0.400,-2.200,teamB_win
2006-01-14,Morocco,Zimbabwe,friendly,false,8.000,1.000,1.200,0.600,0.800,2.600,1732.566,1602.409,130.157,7.000,0.400,-2.000,teamA_win
2006-01-14,Senegal,DR Congo,friendly,false,12.000,2.000,2.200,1.400,1.000,2.400,1735.541,1550.720,184.821,10.000,1.200,-1.000,draw
2006-01-15,Tunisia,Ghana,friendly,false,11.000,10.000,1.800,1.000,1.800,0.400,1761.867,1653.167,108.700,1.000,0.000,0.600,teamA_win
2006-01-17,Ivory Coast,Jordan,friendly,true,7.000,2.000,1.600,1.800,0.600,1.200,1714.126,1604.448,109.678,5.000,1.000,0.600,teamA_win
2006-01-17,Morocco,Angola,friendly,false,11.000,9.000,1.400,0.400,1.400,0.800,1737.381,1645.803,91.579,2.000,0.000,-0.400,draw
2006-01-18,United Arab Emirates,South Korea,friendly,false,6.000,10.000,1.200,2.200,1.800,0.600,1546.468,1733.220,-186.751,-4.000,-0.600,1.600,teamA_win
2006-01-18,Saudi Arabia,Sweden,friendly,false,6.000,10.000,1.000,2.000,1.800,0.800,1764.645,1792.078,-27.432,-4.000,-0.800,1.200,draw
2006-01-20,Egypt,Libya,continental_championship,false,9.000,4.000,2.000,1.200,0.600,1.200,1715.606,1535.688,179.919,5.000,1.400,0.000,teamA_win
2006-01-21,Greece,South Korea,friendly,true,9.000,7.000,1.000,1.000,1.200,0.800,1730.189,1722.036,8.153,2.000,-0.200,0.200,draw
2006-01-21,Saudi Arabia,Finland,friendly,false,4.000,5.000,1.000,2.200,1.400,1.400,1765.236,1576.480,188.757,-1.000,-0.400,0.800,draw
2006-01-21,DR Congo,Togo,continental_championship,true,2.000,6.000,0.600,2.000,1.200,1.800,1554.372,1671.957,-117.585,-4.000,-0.600,0.200,teamA_win
2006-01-21,Ivory Coast,Morocco,continental_championship,true,10.000,9.000,2.000,1.200,1.600,0.800,1719.334,1735.449,-16.115,1.000,0.400,0.400,teamA_win
2006-01-21,Cameroon,Angola,continental_championship,true,11.000,10.000,1.800,0.800,1.600,0.800,1768.463,1647.735,120.728,1.000,0.200,0.000,teamA_win
2006-01-22,Guinea,South Africa,continental_championship,true,11.000,4.000,1.200,0.600,1.800,2.600,1618.431,1619.740,-1.308,7.000,-0.600,-2.000,teamA_win
2006-01-22,Tunisia,Zambia,continental_championship,true,11.000,9.000,1.800,1.000,2.200,0.600,1767.094,1613.991,153.103,2.000,-0.400,0.400,teamA_win
2006-01-22,United States,Canada,friendly,false,8.000,6.000,1.000,0.800,0.800,1.200,1841.256,1595.167,246.089,2.000,0.200,-0.400,draw
2006-01-23,Jordan,Sweden,friendly,true,1.000,8.000,0.600,1.600,1.400,1.000,1599.240,1791.487,-192.247,-7.000,-0.800,0.600,draw
2006-01-23,Senegal,Zimbabwe,continental_championship,true,10.000,1.000,2.000,1.400,0.800,2.400,1731.889,1597.595,134.295,9.000,1.200,-1.000,teamA_win
2006-01-23,Nigeria,Ghana,continental_championship,true,10.000,9.000,2.400,1.400,1.800,0.800,1753.532,1647.939,105.593,1.000,0.600,0.600,teamA_win
2006-01-24,Egypt,Morocco,continental_championship,false,12.000,8.000,2.400,0.800,1.200,0.600,1727.395,1711.906,15.489,4.000,1.200,0.200,draw
2006-01-24,Ivory Coast,Libya,continental_championship,true,13.000,4.000,1.800,0.600,0.600,1.600,1742.877,1523.899,218.978,9.000,1.200,-1.000,teamA_win
2006-01-25,South Korea,Finland,friendly,true,8.000,5.000,1.400,0.800,1.600,1.600,1722.212,1580.196,142.017,3.000,-0.200,-0.800,teamA_win
2006-01-25,Saudi Arabia,Greece,friendly,false,5.000,10.000,1.000,1.800,1.200,0.800,1761.520,1730.013,31.507,-5.000,-0.200,1.000,draw
2006-01-25,Angola,DR Congo,continental_championship,true,7.000,5.000,1.400,1.200,0.800,1.600,1632.753,1584.208,48.545,2.000,0.600,-0.400,draw
2006-01-25,Cameroon,Togo,continental_championship,true,11.000,3.000,1.600,0.800,0.600,1.800,1783.445,1642.120,141.325,8.000,1.000,-1.000,teamA_win
2006-01-25,Mexico,Norway,friendly,true,9.000,6.000,2.200,1.600,0.600,0.800,1812.646,1676.554,136.092,3.000,1.600,0.800,teamA_win
